股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1312,國喬,2026-06-11 21:52:13,True,12.8,5583 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,6,83.3%,3.17%,7.31%,-7.16%,5.45,站上60T進場,布林通道觸頂出場,1312,⚪ 尚未滿足進場條件
1447,力鵬,2026-06-11 21:52:14,True,6.22,1518 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,10,80.0%,1.77%,9.18%,-5.85%,3.8,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1447,⚪ 尚未滿足進場條件
1449,佳和,2026-06-11 21:52:14,True,14.2,1342 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,6,100.0%,3.33%,5.53%,1.4%,1.63,站上60T進場,碰觸20T(布林中線)以上出場,1449,🟢 已滿足進場條件
1467,南緯,2026-06-11 21:52:15,True,7.49,112 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,5,80.0%,1.15%,2.65%,0.0%,1.06,站上60T進場,碰觸20T(布林中線)以上出場,1467,🟢 已滿足進場條件
1587,吉茂,2026-06-11 21:52:16,True,27.6,294 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,9,77.8%,2.98%,12.97%,-4.07%,4.84,站上60T進場,碰觸20T(布林中線)以上出場,1587,⚪ 尚未滿足進場條件
1721,三晃,2026-06-11 21:52:17,True,22.6,1780 張,[進] 60分K之KD且RSI<20 且 直接進場；[出] 乖離率大於15%停利出場,7,85.7%,15.04%,42.36%,-37.17%,26.38,直接進場,乖離率大於15%停利出場,1721,🟢 已滿足進場條件
1762,中化生,2026-06-11 21:52:17,True,35.55,1851 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,9,77.8%,1.98%,11.4%,-11.85%,6.14,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1762,⚪ 尚未滿足進場條件
1809,中釉,2026-06-11 21:52:17,True,48.1,5924 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 乖離率大於15%停利出場,8,75.0%,17.29%,38.39%,-26.84%,22.31,站上60T進場,乖離率大於15%停利出場,1809,⚪ 尚未滿足進場條件
2314,台揚,2026-06-11 21:52:19,True,14.85,150 張,[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,8,75.0%,0.48%,13.05%,-20.66%,9.63,站上60T進場,布林通道觸頂出場,2314,⚪ 尚未滿足進場條件
2316,楠梓電,2026-06-11 21:52:19,True,153.5,2098 張,[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,5,100.0%,40.81%,94.19%,14.8%,32.96,碰觸BBAND下緣進場,乖離率大於15%停利出場,2316,⚪ 尚未滿足進場條件
